X-axis,Y-axis,Th FC,MF,Th sign,Tot,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Ag_t03,AgXX_t03,2.5,2.5,0.001,3025,1031,443,1080,471
Ag_t03,V2A_t03,2.5,2.5,0.001,3025,1082,464,1059,420
Ag_t90,AgXX_t90,2.5,2.5,0.001,3025,1028,334,1230,433
Ag_t90,V2A_t90,2.5,2.5,0.001,3025,1116,305,1259,345
V2A_t03,AgXX_t03,2.5,2.5,0.001,3025,1040,434,1045,506
V2A_t90,AgXX_t90,2.5,2.5,0.001,3025,1054,308,1296,367
